Год;Компания;ЦФО;MCC;Инициатор закупки;Предмет закупки;Бюждетзакупки/суммадоговора(UZS);Тип затрат;Тип договора;Срок действия договора (мес.)
2026;Узум Маркет;M - Construction ;M - PVZ ;А Ким;пол, потолок, крыша, возведение стены для увеличения склада, кафель-плитка при входе. Расчет по тотальному ремонту 5 пвз в мес;1200000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Для проведения мелкого ремонта складов силами технического персонала.;817000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО котельной и котельного оборулования, отопления, вентиляции, кондиционирования и солнечных панелей склад ФФЦ;720000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Logistics Infrastructure ;А Ким;Строительство склада для ГСМ с учетом обогрева в зимний периуд.;531300000;Capex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО и ремонт пожарного оборудования и охранно-пожарной сигнализации (ФФЦ);468000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО эл установок 35/04 кВ РПТП-1, ТП-2,ТП-3, ТП-4.;400000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - PVZ ;А Ким;Техническое обслуживание и ремонт кондиционеров, сплит-систем, установленных ПВЗ;400000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - PVZ ;А Ким;Общестроительные ремонтные работы, ремонт рекламной продукции, ремонт витражей, дверей и окон, ремонт видеокамер;366000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Тех. обслуживанию эл. установок ФФЦ раз в квартал;300000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО К1 и КНС на ФФЦ (Чистка, промывка);300000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Модернизация и закуп доп оборудования для поддержания температурного режима ( Склад ФФЦ и Сергели);300000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Ремонтные работы в складских помещениях ФФЦ и Сергели;275000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Дежурство пожарного ФФЦ;270240000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО и ремонт АПС, АПТ и СОУЭ склад Сергели;240000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Техническое обслуживание ДГУ на ФФЦ;240000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО ТП, ДГУ и линии эл.передач склад Серегли;198000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО комплексному обслуживанию и ремонту систем отопления, вентиляции, кондиционирования и котельной склад Сергели;195720000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Logistics Infrastructure ;А Ким;Ремонт кроссдоков по заявкам;195000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - PVZ ;А Ким;Закуп бензина по топливным картам для обеспечения бесперебойной подачи электроэнергии;192000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Склад ФФЦ (Проведение ежегодных проф лаб тех испытаний по электрооборудованию);190000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Ремонт полов в складском помещение Сергели Нилуфар 77/7;150000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Склад Сергели Нилуфар 77/7 (Проведение ежегодных проф лаб тех испытаний по электрооборудованию);150000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Construction ;А Ким;Приобретение дизель генераторов для ПВЗ;130000000;Capex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО насосного оборудования пож тушения, хоз питьевой воды, установки ОСМОС, насосов скважины и КНС, ТО ГПР (ФФЦ);120000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Аренда ножничного подъемника (6млн, сум) и лесов (3 млн,сум);108000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Поставка топлива для дизель генераторов;90000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - PVZ ;А Ким;Утилизация техники и других видов материала ПВЗ;60000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;Приобретение реагентов гиппохлорида и антискаланта, картриджей, ультрафиолетовые лампы, для подготовки хозпитьевой воды (ФФЦ);30000000;Opex;разовый; - 
2026;Узум Маркет;M - Construction ;M - PVZ ;А Ким;Ремонт электрогенераторов;25000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО грузовых лифтов;24000000;Opex;годовой;12
2026;Узум Маркет;M - Construction ;M - Warehouse ;А Ким;ТО пассажирских лифтов;14820000;Opex;годовой;12
2026;Узум Маркет;M - GPC ;M - GPC ;И Кононенко;На станки ЦПТ;60000000;Opex;годовой;12
2026;Узум Маркет;M - GPC ;M - GPC ;И Кононенко;Запчасти для упаковочных станков;12000000;Opex;годовой;12
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;Модернизация системы видеонаблюдения;672000000;Opex;разовый; - 
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;Годовая подписка ПО Soti;550000000;Opex;разовый; - 
2026;Узум Маркет;M - IT ;M - PVZ ;Я Гринберг;Списание малоценного оборудования (Расходники, периферия и тд.);420000000;Opex;годовой;12
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;Ноутбуки, ПК, мини-РС, МФУ, Принтеры;402000000;Capex;годовой;12
2026;Узум Маркет;M - IT ;M - PVZ ;Я Гринберг;Материалы и запчасти на ремонт (расходники, перифирия);360000000;Opex;годовой;12
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;Материалы и запчасти на ремонт (расходники, периферия и тд.);300000000;Opex;годовой;12
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;Списание малоценного оборудования (Расходники, периферия и тд.);300000000;Opex;годовой;12
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;Серверное и сетевое оборудование, включая шкафы и UPS;223000000;Capex;разовый; - 
2026;Узум Маркет;M - IT ;M - PVZ ;Я Гринберг;Ноутбуки для сотрудников ВЧЛ;200000000;Capex;годовой;12
2026;Узум Маркет;M - IT ;M - Logistics Infrastructure ;Я Гринберг;Оборудование кросс-доков;151800000;Capex;разовый; - 
2026;Узум Маркет;M - IT ;M - Logistics Infrastructure ;Я Гринберг;Оборудование КД под сортировку (3000$  на КД);75000000;Capex;разовый; - 
2026;Узум Маркет;M - IT ;M - Logistics Infrastructure ;Я Гринберг;Модернизация системы видеонаблюдения КД ;45300000;Opex;разовый; - 
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;СКУД;45000000;Capex;годовой;12
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;Монтаж СКС, СКУД, ВОЛС;9600000;Opex;разовый; - 
2026;Узум Маркет;M - IT ;M - Warehouse ;Я Гринберг;Подписка на лицензии Firewall;4583333;Opex;разовый; - 
2026;Узум Маркет;M - IT ;M - PVZ ;Я Гринберг;Монтаж СКС, СКУД, ВОЛС;2400000;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Приобретение машин в собственность;16000000000;Capex;разовый; - 
2026;Узум Маркет;M - Logistics Infrastructure ;M - Warehouse ;М Лихачев;ремонт складских вилочных погрузчиков (кар);366000000;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Электрический штабелер;126000000;Capex;разовый; - 
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;АКБ + резина штабелеры на КД ;120000000;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Тележки для водителей;28500000;Capex;разовый; - 
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Механический штабелер;25500000;Capex;разовый; - 
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Алкотестер;24000000;Capex;разовый; - 
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Тележки;22800000;Capex;разовый; - 
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Рохли;18000000;Capex;разовый; - 
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Поклейка бренда на авто;700839899;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Поиск страховой компании;433524900;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Медицинские услуги;256320000;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Услуги предрейсового осмотра;55440000;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Услугу Эвакуатора;50000000;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Услуги оценки ущерба авто папавшего в дтп;50000000;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Поставка двуколесных тележек;47500000;Opex;годовой;12
2026;Узум Маркет;M - Logistics Infrastructure ;M - Logistics Infrastructure ;М Лихачев;Оказание услуг ОСАГО для авто;34070400;Opex;годовой;12
2026;Узум Маркет;M - Logistics Last Mile;M - Logistics Last Mile;М Лихачев;Рохли;52500000;Capex;разовый; - 
2026;Узум Маркет;M - Logistics Last Mile;M - Logistics Last Mile;М Лихачев;Тележки для курьеров;20000000;Capex;разовый; - 
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;приобретение термонаклеек;15000000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;приобретение пакетов для заказов;12000000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;приобретение стрейч пленки;8000000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение хоз товаров;6000000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-PVZ;Власова Е. А.;приобретение бренд пакетов;5000000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Закуп продуктов в офис;3000000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;спец одежда на заказ (склад ) зима/лето;1500000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;закуп канц товаров;1500000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;мешки для ОКЗ;1500000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Закуп кофе зернового;850000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-GPC;Власова Е. А.;приобретение Бопп пакетов ;740000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;услуги типографии;700000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;приобретение пломб стрела;700000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Заказ воды для кулера (19 л);650000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;приобретение скотча;600000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;приобретение возд пупырч пленки;600000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Бумага А4;600000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-PVZ;Власова Е. А.;спец одежда на заказ ( пвз) зима/лето;600000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение оф мебели;560000000;Capex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-GPC;Власова Е. А.;приобретение термоусад пленки;500000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение посуды одноразовой (стаканы/тарелки/приборы);500000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Заказ пепси ежемесячно;360000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение мыло-пены и салфеток торк;360000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;пломбы наклейки ( склад);360000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;обслуживание техники ( рич траки, погрузчики) ( склад) ;360000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение пылесосов и оборудования для уборки;330000000;Capex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;офисные кресла;300000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобритение медикаментов;300000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;приобретеней гидравлических подъемников ( рохли);300000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Logistics Infrastructure;Власова Е. А.;спец одежда на заказ (логистика) зима/лето;300000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение хомутов;250000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Закуп гигиенических принадлежностей (прокладки, тампоны, ватные диски и палочки);250000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Закуп пилотов и терминаторов;250000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Услуги по химчистке;240000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение жалюзи;200000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;рекламные услуги(банеры, постеры, таблички, вывески);200000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение стремянок разных видов;200000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;спец одежда на заказ ( охрана) зима/лето;200000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;колеса для ремонта тележек ;200000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;услуги дезинфекции/дезинфекции/дератизации/дезодорации;200000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение телевизоров;150000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Услуги по фотообоям;150000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Заказ воды ежемесячно (0,33);120000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Услуги специалистов по тяжелым работам (грузчики);120000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Ремонт кулеров;120000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение бинбэгов, пуфиков для офиса;120000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение метал мебели;100000000;Capex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение обуви (склад/охрана) зима/лето;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение раб инструмента и инвентаря;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;приобретение чек ленты;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение инкас мешков;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобр матер для инкассы;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение живых цветое;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Клининг;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение запчастей для содержания и эксплуатации офиса;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;тонировка;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;установка новых переговорок;100000000;Capex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;стеклянные витражи;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;уборочный инвернтарь и техника;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance\PVZ\HR;Власова Е. А.;Закуп кресел для пвз, для обучения;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение ультрозвуковых ловушек для грызунов и насекомых;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретения различный стройматериалов;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;спец одежда на заказ (ахо) зима/лето;100000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Warehouse;Власова Е. А.;топливо для склада ;70000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Прииобретение очистителей/увлажнителей воздуха;60000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение мягкой мебели;50000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение ковров;50000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение ковролин;50000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Водяные вентиляторы , обогреватели, печки;50000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;тележки корзинки;50000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-PVZ;Власова Е. А.;Бейджики для ПВЗ;50000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Акустические перегородок;50000000;Capex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение холодильников;50000000;Capex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Закуп ПММ;50000000;Capex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение кухонного гарнитура;50000000;Capex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение зонтов для террас;50000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;Приобретение экранов для кондиционеров;50000000;Opex;годовой;12
2026;Узум Маркет;M - Maintenance ;M-Maintenance ;Власова Е. А.;приобретение натяжителей, стрепп лент;50000000;Opex;годовой;12
